loss,accuracy,val_loss,val_accuracy
0.8390914695759081,0.5448753833770752,0.6871321844908357,0.5692307949066162
0.6788663020098817,0.5791329145431519,0.6687293072785336,0.6000000238418579
0.669394450526234,0.597764253616333,0.6717687496012705,0.6034615635871887
0.5309000384629428,0.7252584099769592,0.2245147007166128,0.9292307496070862
0.21412618026604244,0.9351310133934021,0.25896163579727166,0.9230769276618958
0.1852424819631706,0.9444266557693481,0.17860021770708948,0.9419230818748474
0.176696648562563,0.9456686973571777,0.17587104819799299,0.9473077058792114
0.17762461736928442,0.9454283118247986,0.20527472941239186,0.9269230961799622
0.16831913308071583,0.9477922916412354,0.18368830705530073,0.939230740070343
0.16967109635592303,0.9491545557975769,0.16375682221302773,0.9457692503929138
0.16960701200418798,0.9466303586959839,0.18243417830886377,0.944615364074707
0.1735905757331666,0.946670413017273,0.17806138025105364,0.9430769085884094
0.16905681845850026,0.94659024477005,0.17821444351614618,0.9442307949066162
0.16669994295067309,0.9487538933753967,0.17086574719665984,0.9465384483337402
0.17025535845650971,0.9471111297607422,0.1638651381866675,0.9484615325927734
0.1649102095097497,0.9487138390541077,0.1697869119720042,0.9396153688430786
0.16778813212959515,0.9483532309532166,0.17498676644165378,0.9449999928474426
0.16960513975728886,0.9471912980079651,0.17101883104333848,0.9426922798156738
0.1707438358121914,0.9473114609718323,0.17183617125351006,0.9469230771064758
0.16652671888116002,0.9501963257789612,0.17895731898513909,0.9438461661338806
